Student_Id,Predicted Score,Possible Score,Percent Score,Predicted Grade
Candidate 382,23.341007,23.8,98.07145896078157,A
 Candidate 323,17.115269,17.12,99.9723639443656,A
Candidate 439,19.711298,19.759999999999998,99.75353233244738,A
Candidate 390,22.718538,23.46,96.83946412745847,A
Candidate 386,22.932669,23.0,99.70725515614384,A
Candidate 333,18.117336,11.5,157.54205454950747,A
Candidate 371,20.43118,20.45,99.90796599819491,A
Candidate 475,19.699663,19.7,99.9982901636114,A
Candidate 376,22.950863,23.19,98.96879208504305,A
Candidate 395,20.417538,20.490000000000002,99.64635280238645,A
Candidate 430,16.644588,16.85,98.78094047750137,A
 Candidate 316,18.353659,18.4,99.74814497906229,A
Candidate 338,20.842682,20.85,99.96490112597421,A
 Candidate 313,20.667969,20.65,100.08701573849879,A
 Candidate 324,17.072803,17.14,99.60795506017767,A
Candidate 360,20.974424,21.0,99.87821124848865,A
Candidate 422,19.095156,19.19,99.50576193820939,A
Candidate 377,16.585802,16.7,99.3161801092639,A
Candidate 359,22.670403,22.8,99.43159003006784,A
Candidate 460,23.897867,24.05,99.36743119650224,A
Candidate 301,7.5046525,3.0500000000000003,246.0541803328717,A
Candidate 451,18.772896,18.85,99.59095922009698,A
 Candidate 331,19.706306,19.75,99.77876687351662,A
Candidate 452,18.950489,18.99,99.79193809473121,A
Candidate 458,18.310923,18.25,100.33382259003103,A
Candidate 483,17.210894,17.2,100.06333506384561,A
Candidate 427,18.734596,18.75,99.9178466796875,A
Candidate 481,17.760927,18.15,97.85634821111506,A
Candidate 349,20.167187,20.35,99.10165472757025,A
Candidate 302,7.504288,0.5,1500.8576393127441,A
